episode,total_reward,epsilon
472,-16.4600,0.49163
473,-17.4200,0.49089
474,-10.2200,0.49015
475,-19.8200,0.48942
476,-14.0600,0.48869
477,-9.2600,0.48795
478,-15.9800,0.48722
479,-17.4200,0.48649
480,-15.5000,0.48576
481,-18.3800,0.48503
482,-20.3000,0.48430
483,-7.8200,0.48358
484,5.7400,0.48285
485,-12.6200,0.48213
486,-14.0600,0.48140
487,-17.9000,0.48068
488,-9.7400,0.47996
489,-9.2600,0.47924
490,-14.5400,0.47852
491,-13.5800,0.47780
492,3.1600,0.47709
493,3.2800,0.47637
494,2.4800,0.47566
495,-15.5000,0.47494
496,-15.9800,0.47423
497,8.3000,0.47352
498,-16.9400,0.47281
499,-18.3800,0.47210
500,-12.6200,0.47139
501,8.6000,0.47069
502,9.8600,0.46998
503,6.0400,0.46927
504,-10.2200,0.46857
505,-13.1000,0.46787
506,-23.1800,0.46717
507,-15.0200,0.46647
508,-14.0600,0.46577
509,-18.3800,0.46507
510,-13.5800,0.46437
511,-10.7000,0.46367
512,-6.3800,0.46298
513,-15.0200,0.46228
514,-15.5000,0.46159
515,-9.7400,0.46090
516,-16.9400,0.46021
517,-4.9400,0.45952
518,-17.9000,0.45883
519,-11.6600,0.45814
520,-14.5400,0.45745
521,-15.0200,0.45676
522,-17.9000,0.45608
523,-9.2600,0.45540
524,-13.1000,0.45471
525,-6.8600,0.45403
526,-16.9400,0.45335
527,-8.7800,0.45267
528,-5.9000,0.45199
529,-12.6200,0.45131
530,-13.1000,0.45063
531,-13.5800,0.44996
532,7.6600,0.44928
533,-15.9800,0.44861
534,-12.6200,0.44794
535,-9.2600,0.44727
536,-10.7000,0.44659
537,-12.6200,0.44592
538,-13.5800,0.44526
539,-8.7800,0.44459
540,-6.3800,0.44392
541,-13.1000,0.44325
542,-23.1800,0.44259
543,-18.8600,0.44193
544,-9.2600,0.44126
545,-14.0600,0.44060
546,-13.5800,0.43994
547,-14.5400,0.43928
548,-13.5800,0.43862
549,-12.1400,0.43796
550,-16.4600,0.43731
551,-17.4200,0.43665
552,-15.0200,0.43600
553,-12.1400,0.43534
554,-15.9800,0.43469
555,-15.0200,0.43404
556,-22.7000,0.43339
557,-14.0600,0.43274
558,-12.6200,0.43209
559,-14.0600,0.43144
560,-0.7600,0.43079
561,-6.3800,0.43015
562,-14.5400,0.42950
563,1.1400,0.42886
564,-11.1800,0.42821
565,-12.6200,0.42757
566,-14.0600,0.42693
567,-12.6200,0.42629
568,-19.8200,0.42565
569,-16.9400,0.42501
570,-8.7800,0.42437
571,-18.3800,0.42374
572,-14.0600,0.42310
573,-15.0200,0.42247
574,-15.0200,0.42183
575,-11.1800,0.42120
576,-12.1400,0.42057
577,9.8000,0.41994
578,-10.7000,0.41931
579,-11.1800,0.41868
580,-12.6200,0.41805
581,7.7800,0.41742
582,-12.6200,0.41680
583,-17.4200,0.41617
584,9.9800,0.41555
585,7.9000,0.41492
586,-14.0600,0.41430
587,-11.1800,0.41368
588,-17.9000,0.41306
589,-14.5400,0.41244
590,-12.6200,0.41182
591,-14.0600,0.41120
592,-13.1000,0.41059
593,-15.0200,0.40997
594,-11.1800,0.40936
595,-10.7000,0.40874
596,-10.2200,0.40813
597,-15.0200,0.40752
598,-31.3400,0.40691
599,-17.4200,0.40630
